k,true,majority,conf_weighted
1,1,1,1
1,1,1,1
1,9,9,9
1,9,9,9
1,4,4,4
1,4,4,4
1,7,7,7
1,7,7,7
1,5,5,5
1,5,5,5
1,3,3,3
1,3,3,3
1,8,8,8
1,8,2,2
1,6,6,6
1,6,6,6
1,2,2,2
1,2,2,2
