k,empirical,theoretical,n,latency_ms,decision_interval_ms,itr_bpm
1,0.5873715124816447,0.5873715124816447,681,0.0,100.0,621.6399967125583
3,0.6232558139534884,0.6297233187048366,645,200.0,300.0,234.39344593229552
5,0.6683087027914614,0.6605172601066802,609,400.0,500.0,162.46158248321674
7,0.7294938917975567,0.6853952972390767,573,600.0,700.0,139.05035030613453
9,0.750465549348231,0.7064988825079647,537,800.0,900.0,114.6922126010167
