model,accuracy,macro_f1
emg_only,0.9111111111111111,0.9114571746384872
eeg_only,0.2,0.2062365807836822
fusion_feature_concat,0.4222222222222222,0.4324301443554317
fusion_decision_avg,0.8555555555555555,0.8547152194211017
fusion_intermediate_gated,0.2,0.1905272966484611
