amplitude_factor,emg_only,eeg_only,fusion_decision_avg
1.0,0.9111111111111111,0.2,0.8555555555555555
0.5,0.26666666666666666,0.2,0.3
0.25,0.16666666666666666,0.2,0.16666666666666666
0.1,0.16666666666666666,0.2,0.16666666666666666
0.05,0.16666666666666666,0.2,0.16666666666666666
0.0,0.16666666666666666,0.2,0.16666666666666666
