t_rel_cue_s,eeg_accuracy,emg_accuracy
-0.8,0.16,0.19333333333333336
-0.6000000000000001,0.17333333333333334,0.20666666666666667
-0.40000000000000013,0.21666666666666667,0.2333333333333333
-0.20000000000000018,0.17,0.20000000000000004
-2.220446049250313e-16,0.14333333333333334,0.17666666666666667
0.19999999999999973,0.15666666666666665,0.22999999999999998
0.3999999999999997,0.19333333333333333,0.24
0.5999999999999996,0.18333333333333335,0.2966666666666667
0.7999999999999996,0.19666666666666668,0.4266666666666667
0.9999999999999996,0.21666666666666667,0.5066666666666667
1.1999999999999995,0.22333333333333336,0.5333333333333333
1.3999999999999992,0.16333333333333336,0.5933333333333333
1.5999999999999994,0.22,0.5566666666666666
1.7999999999999996,0.17666666666666667,0.63
1.9999999999999993,0.24,0.6166666666666667
2.1999999999999993,0.23666666666666666,0.68
2.3999999999999995,0.20333333333333334,0.68
2.5999999999999996,0.24333333333333332,0.67
